slug,page_type,source_type,page_role,filter_type,filter_keys,category,subcategory,material,tags,kit_themes,offer_types,required_product_fields,query_shape,empty_page_policy
custom-wide-brim-hats-australia,product_category,subcategory,,subcategory,"category,subcategory",Headwear,Wide Brim Hats,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
straw-hats-australia,product_category,subcategory,,subcategory,"category,subcategory",Headwear,Straw Hats,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-visors-australia,product_category,subcategory,,subcategory,"category,subcategory",Headwear,Visors,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
novelty-headwear-australia,product_category,subcategory,,subcategory,"category,subcategory",Headwear,Novelty Headwear,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-gift-boxes-australia,product_category,subcategory,,subcategory,"category,subcategory",Packaging,Gift Boxes,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-gift-bags-australia,product_category,subcategory,,subcategory,"category,subcategory",Packaging,Gift Bags,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
gift-tubes-australia,product_category,subcategory,,subcategory,"category,subcategory",Packaging,Gift Tubes,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-pouches-australia,product_category,subcategory,,subcategory,"category,subcategory",Packaging,Pouches,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-tissue-paper-australia,product_category,subcategory,,subcategory,"category,subcategory",Packaging,Tissue & Wrapping,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
ribbons-and-gift-tags-australia,product_category,subcategory,,subcategory,"category,subcategory",Packaging,Ribbons & Gift Tags,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
greeting-cards-australia,product_category,subcategory,,subcategory,"category,subcategory",Packaging,Greeting & Gift Cards,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-lip-balm-australia,product_category,subcategory,,subcategory,"category,subcategory",Personal Care,Lip Balms,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-hand-sanitiser-australia,product_category,subcategory,,subcategory,"category,subcategory",Personal Care,Hand Sanitiser,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-face-masks-australia,product_category,subcategory,,subcategory,"category,subcategory",Personal Care,Face Masks,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
sunscreen-australia,product_category,subcategory,,subcategory,"category,subcategory",Personal Care,Sunscreen & Lotions,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
first-aid-kits-australia,product_category,subcategory,,subcategory,"category,subcategory",Personal Care,First Aid,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
manicure-sets-australia,product_category,subcategory,,subcategory,"category,subcategory",Personal Care,Manicure Sets,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
compact-mirrors-australia,product_category,subcategory,,subcategory,"category,subcategory",Personal Care,Mirrors & Beauty Accessories,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
bath-and-body-gifts-australia,product_category,subcategory,,subcategory,"category,subcategory",Personal Care,Bath & Body,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
grooming-products-australia,product_category,subcategory,,subcategory,"category,subcategory",Personal Care,Grooming,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-pet-accessories-australia,product_category,subcategory,,subcategory,"category,subcategory",Pet,Pet Accessories,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
promotional-confectionery-australia,product_category,category,,category,category,Confectionery,,,,,,category|is_published,category exact match + is_published=true,Should not be empty after migration. Empty means products were not moved or category spelling differs.
custom-stress-balls-australia,product_category,subcategory,,subcategory,"category,subcategory",Toys & Games,Stress Balls & Toys,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-plush-toys-australia,product_category,subcategory,,subcategory,"category,subcategory",Toys & Games,Plush Toys,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
wooden-toys-and-models-australia,product_category,subcategory,,subcategory,"category,subcategory",Toys & Games,Wooden Toys & Models,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-games-and-puzzles-australia,product_category,subcategory,,subcategory,"category,subcategory",Toys & Games,Games & Puzzles,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
outdoor-toys-australia,product_category,subcategory,,subcategory,"category,subcategory",Toys & Games,Outdoor Toys,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
colouring-sets-australia,product_category,subcategory,,subcategory,"category,subcategory",Toys & Games,Colouring & Kids Sets,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
novelty-toys-australia,product_category,subcategory,,subcategory,"category,subcategory",Toys & Games,Novelty Toys,,,,,category|subcategory|is_published,category exact match + subcategory exact match + is_published=true,Should not be empty after migration unless the page is intentionally draft.
custom-merch-kits-australia,collection,collection,,kit_collection,"include_all_kit_candidates,kit_themes,offer_types",,,,,employee_onboarding|conference_event|office_school|wellness_care|beach_outdoor|food_drink_gifting|eco_sustainable|tech_gift_set|premium_corporate_gift|general_corporate_gifting,prebuilt_kit|prebuilt_bundle|gift_set|hamper|custom_kit_template,offer_type|kit_themes|is_published,offer_type in allowed kit offer types + kit_themes overlap,Hub/theme pages should not be empty after kit tagging. Empty child pages should stay draft.
employee-onboarding-kits-australia,collection,collection,,kit_collection,"kit_themes,offer_types",,,,,employee_onboarding|office_school,prebuilt_kit|prebuilt_bundle|gift_set|custom_kit_template,offer_type|kit_themes|is_published,offer_type in allowed kit offer types + kit_themes overlap,Hub/theme pages should not be empty after kit tagging. Empty child pages should stay draft.
conference-event-kits-australia,collection,collection,,kit_collection,"kit_themes,offer_types",,,,,conference_event,prebuilt_kit|prebuilt_bundle|gift_set|custom_kit_template,offer_type|kit_themes|is_published,offer_type in allowed kit offer types + kit_themes overlap,Hub/theme pages should not be empty after kit tagging. Empty child pages should stay draft.
corporate-gift-sets-australia,collection,collection,,kit_collection,"kit_themes,offer_types",,,,,food_drink_gifting|general_corporate_gifting|premium_corporate_gift,gift_set|hamper|prebuilt_kit|custom_kit_template,offer_type|kit_themes|is_published,offer_type in allowed kit offer types + kit_themes overlap,Hub/theme pages should not be empty after kit tagging. Empty child pages should stay draft.
wellness-gift-packs-australia,collection,collection,,kit_collection,"kit_themes,offer_types",,,,,wellness_care,prebuilt_kit|gift_set|custom_kit_template,offer_type|kit_themes|is_published,offer_type in allowed kit offer types + kit_themes overlap,Hub/theme pages should not be empty after kit tagging. Empty child pages should stay draft.
eco-merch-kits-australia,collection,collection,,kit_collection,"kit_themes,offer_types",,,,,eco_sustainable,prebuilt_kit|gift_set|custom_kit_template,offer_type|kit_themes|is_published,offer_type in allowed kit offer types + kit_themes overlap,Hub/theme pages should not be empty after kit tagging. Empty child pages should stay draft.
tech-gift-sets-australia,collection,collection,,kit_collection,"kit_themes,offer_types",,,,,tech_gift_set,gift_set|prebuilt_kit|custom_kit_template,offer_type|kit_themes|is_published,offer_type in allowed kit offer types + kit_themes overlap,Hub/theme pages should not be empty after kit tagging. Empty child pages should stay draft.
outdoor-event-kits-australia,collection,collection,,kit_collection,"kit_themes,offer_types",,,,,beach_outdoor,prebuilt_kit|gift_set|custom_kit_template,offer_type|kit_themes|is_published,offer_type in allowed kit offer types + kit_themes overlap,Hub/theme pages should not be empty after kit tagging. Empty child pages should stay draft.
new-home-gift-kits-australia,landing,collection,,kit_template,"kit_themes,offer_types,source",,,,,new_home,custom_kit_template,kit_components|related_categories|is_published,manual/template page; show curated component rails rather than one product list,Can have zero direct kit products if it renders component/category rails and quote CTA.
premium-corporate-gift-sets-australia,collection,collection,,kit_collection,"kit_themes,offer_types",,,,,premium_corporate_gift,gift_set|hamper|custom_kit_template,offer_type|kit_themes|is_published,offer_type in allowed kit offer types + kit_themes overlap,Hub/theme pages should not be empty after kit tagging. Empty child pages should stay draft.
office-and-school-kits-australia,collection,collection,,kit_collection,"kit_themes,offer_types",,,,,office_school,prebuilt_kit|gift_set|custom_kit_template,offer_type|kit_themes|is_published,offer_type in allowed kit offer types + kit_themes overlap,Hub/theme pages should not be empty after kit tagging. Empty child pages should stay draft.
